ProductName,Category,SubCategory
onion  loose ,0,0
potato,0,0
tomato   hybrid  loose ,0,0
tomato   local  loose ,0,0
carrot   orange  loose ,0,5
ladies finger  loose ,0,12
ridge gourd,0,25
coccinia  loose ,0,26
palak    g ladies finger    g cucumber  kg capsicum green    g bottle gourd  pc,0,28
radish   white  loose ,0,5
brinjal   bottle shape  loose ,0,12
methi venthaya keerai   cleaned  without roots,0,28
garlic  loose ,0,35
ginger  loose ,0,35
brinjal bottle shape     g   cauliflower   pc   cabbage   pc,0,12
carrot   ooty  loose ,0,5
fresho palak   without root     gm   amul malai paneer     gm,0,28
chilli   green long  medium  loose ,0,35
curry leaves,0,41
bitter gourd  loose ,0,25
mint leaves   cleaned  without roots,0,28
brinjal   varikatri  loose ,0,12
amla  loose ,0,43
beans   broad  loose ,0,12
garlic   peeled,0,47
coconut   large,0,48
drumstick moringa,0,25
garlic   organically grown  loose ,0,42
pomegranate   peeled,0,56
amaranthus   red cleaned  without roots,0,28
beans   cluster  loose ,0,12
colocasia  loose ,0,5
watermelon   organically grown  loose ,0,64
snake gourd,0,25
pumpkin   organically grown  loose ,0,42
beetroot   organically grown  loose ,0,42
bitter gourd   organically grown  loose ,0,42
pineapple,0,71
dill leaves,0,41
sambar onion   peeled  small onion ,0,47
amaranthus   green cleaned  without roots,0,28
green peas   peeled,0,47
cabbage   organically grown  loose ,0,42
pumpkin   disco,0,25
mint   organically grown,0,42
chilli   bajji  mild  loose ,0,35
lemon grass,0,41
farm eggs   table tray  medium  antibiotic residue free,1,1
eggs   regular,1,1
chicken breast   boneless  antibiotic residue free    to   pcs,1,34
chicken breast   boneless  antibiotic residue free    to   pcs,1,34
chicken curry cut without skin     g   chicken breast   boneless     g,1,34
chicken curry cut without skin     g   mutton   curry cut     g,1,34
chicken curry cut without skin     g   chicken drumstick without skin     g,1,34
chicken   kg   bb royal biryani basmati rice   extra long   kg pouch,1,34
fresho meat chicken curry cut without skin  kg   everest chicken masala    g,1,34
fresho chicken curry cut without skin   kg   kara coconut milk   classic     ml,1,34
chicken curry cut without skin     g   chicken seekh kabab nawabi     g,1,34
chicken curry cut without skin     g   sardine fish large whole cleaned     g,1,34
chicken curry cut without skin     g   chicken seekh kabab malai n cheese     g,1,34
chicken curry cut without skin     g   mutton seekh kabab regular     g,1,34
chicken curry cut without skin   mutton   curry cut   rohu fish large curry cut,1,34
chicken curry cut   with skin  antibiotic residue free        pcs,1,34
mutton   curry cut  from whole carcass antibiotic residue free  growth hormone free       pcs,1,68
mutton   curry cut  antibiotic residue free  growth hormone free    to   pcs,1,68
chicken breast   boneless     g   chicken drumstick without skin     g,1,34
chicken   mince  antibiotic residue free,1,34
rohu fish large   curry cut bengali cut with head   tail  preservative free,1,72
rohu cut pieces   preservative free      pcs,1,72
chicken liver   antibiotic residue free     to    pcs,1,34
chicken breast   boneless     g   chicken seekh kabab regular     g,1,34
chicken breast   boneless     g   chicken seekh kabab malai n cheese     g,1,34
chicken leg   without skin  antibiotic residue free      pcs,1,34
chicken leg   without skin,1,34
chicken drumstick   without skin  antibiotic residue free      pcs,1,34
chicken drumstick   without skin  antibiotic residue free    to    pcs,1,34
basa fish fillet   fresh chilled  preservative free,1,72
chilli chicken pieces   boneless  antibiotic residue free    to   pcs,1,34
chilli chicken pieces   boneless  antibiotic residue free     to    pcs,1,34
chicken   gizzard,1,34
chicken   soup pieces,1,34
mutton   curry cut     g   chicken drumstick without skin     g,1,68
catla fish   large  curry cut bengali cut with head   tail  preservative free        pcs,1,72
mutton   curry cut   kg   bb royal biryani basmati rice   kg pouch,1,68
rohu fish large curry cut  kg  chilli chicken boneless    g  chicken mince    g,1,72
mutton   curry cut     g   chicken seekh kabab nawabi     g,1,68
mutton   curry cut     g   chicken seekh kabab punjabi     g,1,68
mutton   curry cut     g   mutton seekh kabab regular     g,1,68
kolkata bengali pabda fish   whole cleaned,1,72
chicken thigh   boneless without skin  soft   tender,1,34
chicken mixed boneless,1,34
chicken thigh,1,34
chicken thigh with bone   antibiotic residue free  growth hormone free,1,34
chicken biryani cut  kg    chicken chilli pieces boneless     g,1,34
basa fillet  kg   malabar prawns    g,1,113
chicken   lollipop  antibiotic residue free     to    pcs,1,34
chicken   lollipop  antibiotic residue free     to    pcs,1,34
white prawns   medium  unpeeled        pcs,1,115
chicken   biryani cut     to    pcs,1,34
white prawns   jumbo  peeled   deveined        pcs,1,115
kolkata bengali tengra fish   whole cleaned,1,72
fish   katla  head,1,72
kolkata bengali hilsa fish   cut pieces  large,1,104
lush hariyali chicken tikka   fresh   juicy  marinated  ready to cook,1,113
tandoori chicken   fresh   juicy  marinated  ready to cook,1,113
kolkata bengali chitol peti fish,1,72
chicken malai tikka   fresh   juicy  marinated  ready to cook,1,113
mutton   biryani pieces  antibiotic residue free  growth hormone free     to    pcs,1,68
mutton   biryani pieces     to    pcs,1,68
basa cubes   boneless  fresh   flavourful,1,72
kolkata bengali saral puti fish   whole  uncleaned,1,72
tilapia fish   curry cut,1,104
desi rohu fish steak   fresh   juicy  marinated  ready to cook,1,113
chicken   thigh boneless  without skin,1,34
kolkata bengali kachki fish   whole  uncleaned,1,72
kolkata bengali kachki fish   whole uncleaned,1,72
peri peri chicken wings   fresh   juicy  marinated  ready to cook,1,113
chicken drumsticks   with skin  fleshy   tender,1,34
peri peri prawns   fresh   juicy  marinated  ready to cook,1,113
roopchanda fish   curry cut,1,72
